instruction,input,output
Create and execute a python script to generate a fibonacci sequence of length 10.,,"def generate_fibonacci_sequence(length):
  a, b = 0, 1
  sequence = []
  for _ in range(length):
    a, b = b, a + b
    sequence.append(a)
  return sequence

print(generate_fibonacci_sequence(10))"
Use Javascript toggles to hide/reveal the text.,,"<script>
function toggleVisible(buttonId, textId) {
  var text = document.getElementById(textId);
  var button = document.getElementById(buttonId);
  if (text.style.display === ""none"") {
    text.style.display = ""block"";
    button.innerHTML = ""Hide"";
  } else {
    text.style.display = ""none"";
    button.innerHTML = ""Show"";
  }
}
</script>"
Write a Java method that checks if a given number is a prime number.,,"public static boolean isPrime(int num)
{
if (num <= 1) 
 return false;

for (int i = 2; i < Math.sqrt(num); i++) 
 if (num % i == 0) 
  return false;

return true;
}"
Write a shell script to print the name of the current working directory.,,"#!/bin/sh

echo $(PWD)"
"Given an array of integers, write a function to calculate and return the sum of all elements.","arr = [2, 5, 7, 9, 10]","def sum_of_elements(arr):
    sum = 0
    for each_element in arr:
        sum += each_element
    return sum"
"Divide an array of integers into two parts, such that the sum of elements in each part is the same.","arr = [3, 1, 4, 2, 2, 1]","def equal_sum(arr): 
    n = len(arr) 
  
    total_sum = 0; 
    for i in range(n): 
        total_sum += arr[i] 
  
    half_sum = total_sum // 2
    subset_sum = [True for _ in range(half_sum + 1)] 
  
    for i in range(half_sum + 1): 
        subset_sum[i] = False
  
    for i in range(n): 
        for j in range(half_sum, arr[i] - 1, -1):
            if (subset_sum[j - arr[i]]): 
                subset_sum[j] = True
  
    if (subset_sum[half_sum]):
        print(""The given array can be divided into two equal parts"") 
    else:
        print(""The given array can not be divided into two equal parts"")"
Write a function to convert a Binary Tree into a linked list in each depth. Tree is defined as:,"# Definition for a binary tree node.
class TreeNode:
    def __init__(self, x):
        self.val = x
        self.left = None
        self.right = None","def tree_to_list(root):
    if root is None:
        return
    result = []
    current = []
    current.append(root)
    while current:
        result.append(current)
        parents = current
        current = []
        for parent in parents:
            if parent.left:
                current.append(parent.left)
            if parent.right:
                current.append(parent.right)
    return result"
Write a function to delete a given node in a binary search tree.,"# Definition for a binary tree node.
class TreeNode:
    def __init__(self, x):
        self.val = x
        self.left = None
        self.right = None","def delete_node(root, key):
    # Base Case 
    if root is None: 
        return root  
  
    # If the key to be deleted is smaller than  
    # the root's key then it lies in left subtree 
    if key < root.val: 
        root.left = delete_node(root.left, key) 
  
    # If the kye to be delete is greater than the  
    # root's key then it lies in right subtree 
    elif(key > root.val): 
        root.right = delete_node(root.right, key) 
  
    # If key is same as root's key, then this is the node 
    # to be deleted 
    else: 
        # Node with only one child or no child 
        if root.left is None : 
            temp = root.right  
            root = None 
            return temp  
              
        elif root.right is None : 
            temp = root.left  
            root = None
            return temp 
  
        # Node with two children: Get the inorder successor  
        # (smallest in the right subtree) 
        temp = minValueNode(root.right) 
  
        # Copy the inorder successor's content to this node 
        root.val = temp.val 
  
        # Delete the inorder successor 
        root.right = delete_node(root.right , temp.val) 
  
  
    return root"
Binary search is a technique for efficiently finding an element in a sorted array. Implement a binary search algorithm in Python.,"arr = [2, 4, 7, 8, 10, 15, 20]
target = 15","def binary_search(arr, target):
    left = 0
    right = len(arr)-1
    while left <= right:
        mid = (left + right)//2
        if target == arr[mid]:
            return mid
        elif target > arr[mid]:
            left = mid + 1
        else:
            right = mid - 1
    return -1"
Implement a basic spell checker.,"words = [""their"", ""theif"", ""they"", ""thear"", ""theor"", ""thei""","def spell_checker(words):
    correct_words = [""their"", ""they"", ""theor""]
    correction = []
    for word in words:
        if word not in correct_words:
            min_distance = float('inf')
            best_correction = ''
            for correct_word in correct_words:
                distance = edit_distance(word, correct_word)
                if(distance < min_distance):
                    min_distance = distance
                    best_correction = correct_word
            correction.append([word, best_correction])
    return correction"
"Given an array of strings, write a function to group anagrams together.","arr = [ ""eat"", ""tea"", ""tan"", ""ate"", ""nat"", ""bat""]","def group_anagrams(arr):
    anagrams = dict()
    for word in arr:
        key = ''.join(sorted(word))
        if key in anagrams:
            anagrams[key].append(word)
        else:
            anagrams[key] = [word]
    return list(anagrams.values())"
Write a function to print all the paths from a root node to its leaves in a Binary Tree.,"# Definition for a binary tree node.
class TreeNode:
    def __init__(self, x):
        self.val = x
        self.left = None
        self.right = None","def print_paths(root):
    if not root:
        return
    paths = list()
    get_all_paths(root, [], paths)
    return paths

def get_all_paths(node, current, paths):
    if not node:
        return

    current.append(node)
    if not node.left and not node.right:
        paths.append([node.val for node in current])
    else:
        get_all_paths(node.left, current, paths)
        get_all_paths(node.right, current, paths)
    current.pop()"
"Given a binary tree, write a function to compute the height or depth of the tree.","# Definition for a binary tree node.
class TreeNode:
    def __init__(self, x):
        self.val = x
        self.left = None
        self.right = None","def tree_height(root):
    if root is None:
        return 0
    left_height = tree_height(root.left)
    right_height = tree_height(root.right)
    return max(left_height, right_height) + 1"
"Given two binary trees, write a function to check if they are equal or not.","# Definition for a binary tree node.
class TreeNode:
    def __init__(self, x):
        self.val = x
        self.left = None
        self.right = None","def is_equal(root1, root2):
    if root1 == None or root2 == None:
        return root1 == root2
    
    return root1.val == root2.val and is_equal(root1.left, root2.left) and is_equal(root1.right, root2.right)"
"Given two strings s1 and s2, write a function to check if edit distance between them is one or not.","s1 = ""cat""
s2 = ""bat""","def is_edit_distance_one(s1, s2):
    if abs(len(s1) - len(s2)) > 1:
        return False
    count = 0
    i = 0
    j = 0
    while i < len(s1) and j < len(s2):
        if s1[i] != s2[j]:
            count += 1
            if len(s1) > len(s2):
                i += 1
            elif len(s1) < len(s2):
                j += 1
            else:
                i += 1
                j += 1
        else:
            i += 1
            j += 1
    return count <= 1"
Implement an algorithm to find the kth smallest element in an array.,"arr = [7, 10, 8, 3, 4, 1, 5]
k = 3","def kth_smallest_element(arr, k):
    if k < 0 or k > len(arr):
        return None

    left, right = 0, len(arr) - 1
    while left <= right:
        pivot_idx = partition(arr, left, right)
        if pivot_idx == k - 1:
            return arr[pivot_idx]
        elif pivot_idx > k - 1:
            right = pivot_idx - 1
        else:
            left = pivot_idx + 1
    return None

def partition(arr, left, right):
    pivot_idx = (left + right) // 2
    pivot_value = arr[pivot_idx]
    swap(arr, pivot_idx, right)
    idx = left
    for i in range(left, right):
        if arr[i] < pivot_value:
            swap(arr, idx, i)
            idx += 1
    swap(arr, right, idx)
    return idx

def swap(arr, i, j):
    arr[i], arr[j] = arr[j], arr[i]"
"Given an array of integers, write a function to find the longest subarray with equal number of 0s and 1s.","arr = [0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1]","def longest_subarray(arr):
    hash_map = {0: -1}
    count = 0
    longest_length = 0
    start_index = 0
    for i in range(len(arr)):
        if arr[i] == 0:
            count -= 1
        else:
            count += 1
        if count in hash_map:
            if longest_length < i - hash_map[count]:
                longest_length = i - hash_map[count]
                start_index = hash_map[count] + 1
        else:
            hash_map[count] = i
    return arr[start_index: start_index + longest_length]"
Define a Python function that takes two input lists of points and return the Euclidean distance between them.,"point1 = [3, 4]
point2 = [10, 11]","def get_euclidean_distance(point1, point2):
  return ((point2[0] - point1[0])**2 + (point2[1] - point1[1])**2) ** 0.5"
What is the name of the module used in Python to serialize data?,,The module used in Python to serialize data is called the pickle module.
Write a Python loop to iterate over the following list and print every element.,"my_list = [1, 2, 3, 4, 5]","for item in my_list:
    print(item)"
"How can you access the value ""welcome"" from the following dictionary?","my_dict = { 
    'title': 'example dictionary',
    'message': 'welcome'
 }",my_dict['message']
"Given a 2D matrix, return the coordinates of the border elements.","matrix = [
    [0, 1, 0, 0],
    [1, 1, 1, 1],
    [0, 1, 0, 0],
]","def get_border_coordinates(matrix):
    border_coordinates = []
    m = len(matrix)
    n = len(matrix[0])
    
    for i in range(m):
        border_coordinates.append((i, 0))
        border_coordinates.append((i, n-1))
    for j in range(n):
        border_coordinates.append((0, j))
        border_coordinates.append((m-1, j))
    return border_coordinates"
Write a PHP program to print the current date and time.,,"<?php

echo date(""F j, Y, g:i a"");

?>"
Create a JavaScript function to compare two strings and determine if they are an anagram of each other.,,"function isAnagram(s1, s2) {
  let characterMap1 = new Map();
  let characterMap2 = new Map();

  for (let char of s1) {
    if (characterMap1.has(char)) {
      characterMap1.set(char, characterMap1.get(char) + 1);
    } else {
      characterMap1.set(char, 1);
    }
  }

  for (let char of s2) {
    if (characterMap2.has(char)) {
      characterMap2.set(char, characterMap2.get(char) + 1);
    } else {
      characterMap2.set(char, 1);
    }
  }

  for (let char of characterMap1) {
    if (!characterMap2.has(char[0]) || characterMap2.get(char[0]) !== char[1])
      return false;
  }

  for (let char of characterMap2) {
    if (!characterMap1.has(char[0]) || characterMap1.get(char[0]) !== char[1])
      return false;
  }
  return true;
}"
"Write a JavaScript program that takes a number, multiplies it by itself, and then prints the result.",,"function multiplyBySelf(num) {
  console.log(num * num);
}"
How can you print the length of a Python list?,,"The length of a Python list can be printed by using the built-in len() function. For example, 

my_list = [1, 2, 3]
print(len(my_list)) 

will output 3."
"Using Python, convert the string ""Hello World"" to uppercase.",,"print(""Hello World"".upper()) # HELLO WORLD"
"Using HTML, create a table with two columns and three rows.",,"<table>
 <tr>
  <td>Row 1, Column 1</td>
  <td>Row 1, Column 2</td>
 </tr>
 <tr>
  <td>Row 2, Column 1</td>
  <td>Row 2, Column 2</td>
 </tr>
 <tr>
  <td>Row 3, Column 1</td>
  <td>Row 3, Column 2</td>
 </tr>
</table>"
"Using Java, define a class called 'Car' that contains three fields, 'model', 'year', and 'price'.",,"public class Car {
  private String model;
  private int year;
  private double price;
  
  // Getters and setters
  public String getModel() { 
    return model; 
  }
  
  public void setModel(String model) {
    this.model = model; 
  }
  
  public int getYear() { 
    return year; 
  }
  
  public void setYear(int year) {
    this.year = year; 
  }
  
  public double getPrice() { 
    return price; 
  }
  
  public void setPrice(double price) {
    this.price = price; 
  }
}"
"In Python, how would you check if a given number is an even number?",42,"if (num % 2 == 0):
    print(""The given number is an even number"")
else:
    print(""The given number is an odd number"")"
How would you use PHP to redirect a user to a different URL?,,"header(""Location: http://www.example.com/new-location"");"
What is the syntax for declaring an integer variable in C++?,,int x;
Understand the code and explain what it does:,"b = [1,2,3]
x = 0
for i in b:
    x = x + i","This code is iterating over the list ""b"" which contains the elements 1, 2 and 3. The variable ""x"" is initialised with the value 0 and then on each iteration, ""x"" gets incremented by the value present at the current iteration index. In the end, the value of ""x"" will be the sum of all elements present in the list ""b"". So, after the loop terminates the value of x will be 6."
"In Python, what is the function used to create a tuple?",,tuple()
"Using HTML, create a form with 3 fields and a submit button.",,"<form action=""submit.php"">
  <p>Name: <input type=""text"" name=""name"" /></p>
  <p>Email: <input type=""text"" name=""email"" /></p>
  <p>Country: <input type=""text"" name=""country"" /></p>
  <p><input type=""submit"" value=""Submit""/></p>
</form>"
"In Ruby, describe the syntax for looping through array elements.",,"array = [1, 2, 3, 4]

array.each do |element|
  puts element
end"
"Using JavaScript, how can you get the current date and time?",,"var currentDate = new Date();
document.write(currentDate);"
How would you use SQL to select only distinct values from a table?,,SELECT DISTINCT column_name FROM table_name;
Write a Ruby for loop to loop over each number in the range of 0 to 9.,,"for i in 0..9
  puts i
end"
Write a SQL query to find the most populous city with a population greater than 10 million people in the USA.,,"SELECT Name, Population
FROM USA_Cities
WHERE Population > 10000000
ORDER BY Population DESC
LIMIT 1;"
"Generate HTML code to display a red block with the text ""Hello, World!"" in the center.",,"<div style=""background-color: red; padding: 10px; text-align: center;"">
  <p>Hello, World!</p>
</div>"
Create a Java program to check if two strings are anagrams. Two strings are anagrams if they are an arrangement of same characters.,"String s1 = ""listen"";
String s2 = ""silent"";","public static boolean isAnagram(String s1, String s2) {
    char[] ch1 = s1.toCharArray();
    char[] ch2 = s2.toCharArray();
    Arrays.sort(ch1);
    Arrays.sort(ch2);
    return Arrays.equals(ch1, ch2);
}"
Write a HTML table with 5 columns to display data about a list of books.,,"<table>
  <tr>
    <th>Title</th>
    <th>Author</th>
    <th>Genre</th>
    <th>Year</th>
    <th>Pages</th>
  </tr>
  <tr>
    <td>The Catcher in the Rye</td>
    <td>J. D. Salinger</td>
    <td>Bildungsroman</td>
    <td>1951</td>
    <td>277</td>
  </tr>
  <tr>
    <td>1984</td>
    <td>George Orwell</td>
    <td>Dystopian</td>
    <td>1949</td>
    <td>328</td>
  </tr>
  <tr>
    <td>The Great Gatsby</td>
    <td>F. Scott Fitzgerald</td>
    <td>Novel</td>
    <td>1925</td>
    <td>180</td>
  </tr>
  <tr>
    <td>The Grapes of Wrath</td>
    <td>John Steinbeck</td>
    <td>Realism</td>
    <td>1939</td>
    <td>480</td>
  </tr>
  <tr>
    <td>The Adventures of Huckleberry Finn</td>
    <td>Mark Twain</td>
    <td>Realism</td>
    <td>1884</td>
    <td>212</td>
  </tr>
</table>"
Design a CSS animation to display a rotation of two colored disks in infinite loop.,,"@keyframes rotate {
    from {
        transform: rotate(0deg);
    }
    to {
        transform: rotate(360deg);
    }
}

.disk-1 {
    animation-name: rotate;
    animation-duration: 3s;
    animation-iteration-count: infinite;
    background-color: #f00;
}

.disk-2 {
    animation-name: rotate;
    animation-duration: 3s;
    animation-iteration-count: infinite;
    background-color: #0f0;
}"
Write an Objective-C class that implements a queue data structure.,,"@interface Queue: NSObject

@property (nonatomic, strong) NSMutableArray* queueArray;

- (instancetype)init;
- (void)enqueue:(id)obj;
- (id)dequeue;
- (BOOL)isEmpty;

@end

@implementation Queue

- (instancetype)init {
    self = [super init];
    if (self) {
        self.queueArray = [[NSMutableArray alloc] init];
    }
    return self;
}

- (void)enqueue:(id)obj {
     [self.queueArray addObject: obj];
}

- (id)dequeue {
     id element = nil;
 
    if ([self.queueArray count] > 0) {
        element = self.queueArray[0];
        [self.queueArray removeObjectAtIndex: 0];
    }
 
    return element;
}

- (BOOL)isEmpty {
    return [self.queueArray count] == 0;
}

@end"
Create a Bash shell script to list the contents of the current directory.,,"#!/bin/bash
echo ""List of the current folder:""
ls"
Develop a C++ program to check if two linked lists intersect at any given point.,,"bool isIntersect(ListNode *list1, ListNode *list2)
{
    ListNode *cur1 = list1;
    ListNode *cur2 = list2;
 
    while (cur1 != NULL && cur2 != NULL)
    {
        if (cur1 == cur2)
            return true;
        cur1 = cur1->next;
        cur2 = cur2->next;
    }
 
    return false;
}"
Generate JavaScript code to remove the last item in an array.,,let removeLastItem = (arr) => arr.pop();
Write a Python function that takes two integers as argument and returns their product.,,"def product(x, y):
    return x * y"
Convert the following pseudocode into Python code.,"Input: a positive integer n

total ← 0
odd ← 1

while odd ≤ n
    total ← total + odd
    odd ← odd + 2

Output: total","def calculate_sum_of_odds_up_to(n):
  total = 0
  odd = 1
  while odd <= n:
    total += odd
    odd += 2
  return total"
Write an algorithm to calculate the sum of two numbers.,,"def sum(x, y):
    return x + y"
Exchange the values of two variables in C.,,"void exchange(int *a, int *b) {
    int temp = *a;
    *a = *b;
    *b = temp;
}"
Write an SQL query to find all the records with a column value of 'A' in a table called 'TableName'.,,SELECT * FROM TableName WHERE ColumnName = 'A';
Write a JavaScript function to compute the sum of all elements in an array.,,"function computeSum(arr) {
  let sum = 0;
  for (let i = 0; i < arr.length; i++) {
    sum += arr[i];
  }
  return sum;
}"
"Use the comment as a guide, complete the Java code.","public static void map(int[] array) {
    // TODO: change all the elements in the array
}","public static void map(int[] array) {
    for (int i = 0; i < array.length; i++) {
        array[i] = array[i] + 1;
    }
}"
Write a JavaScript function to generate a string of random characters.,,"function randomString(length) {
  let result = '';
  const characters = 'abcdefghijklmnopqrstuvwxyz0123456789';
  const charactersLength = characters.length;
  for (let i = 0; i < length; i++) {
     result += characters.charAt(Math.floor(Math.random() * charactersLength));
  }
  return result;
}"
Implement a method in Python to find the maximum element of an array.,"[4, 2, 5, 3]","def find_max(array):
    max_element = array[0]
    for element in array:
        if element > max_element:
            max_element = element
    return max_element"
Generate a Python script that takes a list of integers and returns the unique elements of the list in the same order as they appear in the list.,"[3, 4, 2, 5, 6, 4, 2, 3]","def find_unique_elements(arr):
    elements = []
    for el in arr:
        if el not in elements:
            elements.append(el)
    return elements"
Implement a function in Python to check that a word is a palindrome.,"""Anna""","def is_palindrome(word):
    x = 0
    y = len(word) - 1
    while x <= y:
        if word[x] != word[y]:
            return False
        else:
            x += 1
            y -= 1
    return True"
Edit this Python function to reverse the elements in a list.,"def reverse_list(list):
    new_list = []
    for i in range(len(list)):
        new_list.append(list[i])
    return new_list","def reverse_list(list):
    new_list = []
    for i in range(len(list)-1,-1,-1):
        new_list.append(list[i])
    return new_list"
Create a Python script to print all the prime numbers between 1 and a given number.,30,"def is_prime(n): 
    if (n <= 1): 
        return False 
    if (n <= 3): 
        return True
    if (n % 2 == 0 or n % 3 == 0): 
        return False 
    
    i = 5
    while(i * i <= n): 
        if (n % i == 0 or n % (i + 2) == 0): 
            return False 
        i = i + 6
      
    return True
  
def print_primes(n):
    for i in range(2,n+1):
        if is_prime(i):
            print(i, end = "" "")
  
print_primes(30)"
Generate Python code that finds all the possible combinations of items in a list.,"[1, 2, 3]","def find_combinations(arr):
    if len(arr) == 0:
        return [[]]
    else:
        ans = []
        for i in range(len(arr)):
            comb = [arr[i]]
            rest = arr[:i] + arr[i+1:]
            for sub_comb in find_combinations(rest):
                combs = [comb + sub_comb]
                ans += combs
        return ans"
Create a Python class to represent a circle object with its radius as a property.,,"class Circle(object):
    def __init__(self, radius):
        self.radius = radius
    
    def get_radius(self):
        return self.radius"
Suggest a code snippet to count the occurrence of each unique letter of a string.,"""Hello""","from collections import defaultdict

def count_letter_occurrences(str):
    count_dict = defaultdict(int)
    for letter in str:
        count_dict[letter] += 1
    return dict(count_dict)"
Create an empty 2D array in Python with 4 columns and 3 rows.,,"arr = [[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]"
Calculate the number of combinations to choose 5 elements from a given set of 8 elements.,"Set: {a, b, c, d, e, f, g, h}",The total number of combinations is 56.
Write a function in Python to calculate the volume of a rectangular prism.,"length = 10 cm, width = 4 cm, height = 4 cm","def volume(length, width, height):
    return length * width * height

volume_result = volume(10, 4, 4) 
print('Volume of a rectangular prism is:', volume_result)"
"Generate a SQL query to select all rows with a name beginning with ""M"" from a given table.",Table name: users,SELECT * FROM users WHERE name LIKE 'M%';
Rewrite the given function in Python so that it uses recursion.,"def add_numbers(n1, n2): 
    return n1+n2","def add_numbers(n1, n2): 
    if n2 == 0: 
        return n1 
    return add_numbers(n1 + 1, n2 - 1)"
Write a PHP script to validate an email address.,,"function validateEmail($email) {
    return filter_var($email, FILTER_VALIDATE_EMAIL); 
}"
"Create a HTML form with the following fields: Name, Contact Number, Email and Address.",,"<form action="""">
   <label for=""name"">Name</label>
   <input type=""text"" name=""name"" id=""name"">
   <label for=""contact"">Contact Number</label>
   <input type=""tel"" name=""contact"" id=""contact"">
   <label for=""email"">Email</label>
   <input type=""email"" name=""email"" id=""email"">
   <label for=""address"">Address</label>
   <textarea name=""address"" id=""address"" rows=""4"" cols=""17""></textarea>
   <input type=""submit"" value=""Submit"">
</form>"
Create a Swift function to check if a String contains any character in lower case.,,"func containsLowercase(_ string: String) -> Bool {
    return string.rangeOfCharacter(from: CharacterSet.lowercaseLetters) != nil
}"
Reverse a given array of integers in Java.,"int[] arr = {1,2,3,4,5}","public static int[] reverseArray(int[] arr) {
    int max = arr.length-1;
    int min = 0;
    while (min < max){
        int temp = arr[min];
        arr[min] = arr[max];
        arr[max] = temp;
        min++;
        max--;
    }
    return arr;
}"
Generate a secure 8-character alphanumerical password in JavaScript.,,"let password = '';
for (let i = 0; i < 8; i++) {
    let randomElement = Math.floor(Math.random() * 36);
    if (randomElement >= 0 && randomElement <= 9) {
        password += randomElement;
    } else {
        password += String.fromCharCode(randomElement + 87);
    }
}"
Write a code in R to calculate the standard deviation of a given vector.,"vec = c(4.5, 8.5, 10.5, 11.5, 15.5)","std_dev <- sd(vec)
print(std_dev)"
Generate a random number less than a given number in C++.,Max number: 100,"#include <iostream>
#include <cstdlib>
#include <ctime>
 
int main() 
{ 
    int maxNumber = 100;
    // Initialize random seed
    srand(time(NULL));
   
    // Generate random number
    int randomNumber = rand() % maxNumber; 
  
    std::cout << randomNumber; 
    return 0; 
}"
Write a code to find the maximum element in a given array of integers in Java.,"int[] arr = {5, 1, 8, 10, 4, 32}","public static int getMax(int[] arr) {
    int max = arr[0];
    for(int i = 1; i < arr.length; i++) {
        if(arr[i] > max) {
            max = arr[i];
        }
    } 
    return max; 
}"
Write a single line of C++ code to return the squares of all integers from 1 to 10.,,"return  std::vector<int>{1,4,9,16,25,36,49,64,81,100};"
Debug the following Python code to return a list of integers from 1 to 10.,"def func():
     lst = [1,2,3]
     for i in range(3,10):
        lst.append(i)
     return lst","def func():
     lst = []
     for i in range(1,10):
        lst.append(i)
     return lst"
"Generate an array of random integers between 0 and 100, where each integer only appears once.",,"let randomInts = [];
while (randomInts.length !== 100) {
    const randomInt = Math.floor(Math.random() * 100);
    if (!randomInts.includes(randomInt)) randomInts.push(randomInt);
}
console.log(randomInts);"
Change the following code to a class in Python.,"def inc_by_one(x):
    return x + 1

def print_inc_by_one(x):
    res = inc_by_one(x)
    print(res)

print_inc_by_one(1)","class Operation:
    def inc_by_one(self, x):
        return x + 1
    
    def print_inc_by_one(self, x):
        res = self.inc_by_one(x)
        print(res)

operation = Operation() 
operation.print_inc_by_one(1)"
Compose a MySQL query to count the number of rows instudents table.,,SELECT COUNT(*) FROM students;
Convert the following code from pseudocode to C++.,"for i in range (1,10,2):
    print (i)","for (int i = 1; i < 10; i += 2) 
{
    std::cout << i << std::endl;
}"
Modify the following code in JavaScript to return 0 if the given number is 0.,"function myFunction(num){
    return num + 1;
}","function myFunction(num){
    if(num === 0) return 0;
    return num + 1;
}"
Generate a correct C# program to find the length of a string entered by a user.,,"using System;

public class Program
{
    public static void Main()
    {
        string str = Console.ReadLine();
        Console.WriteLine(str.Length);
    }
}"
"Given a 2D array, generate code in C to calculate the sum of the elements in the array.","arr[3][4] = {{1,2,3,4},{5,6,7,8},{9,10,11,12}}","#include <stdio.h>
 
int main()
{
    int arr[3][4] = {{1,2,3,4},{5,6,7,8},{9,10,11,12}};
    int sum = 0; 
  
    // Calculating the sum of array elements 
    for (int i = 0; i < 3; i++) 
        for (int j = 0; j < 4; j++)  
            sum += arr[i][j]; 
  
    printf(""Sum of array elements is %d"", sum); 
    return 0; 
}"
Generate a JavaScript program to return the longest word of a given string.,The quick brown fox,"function longestWord(s)
{
    let splitStr = s.split(' ');
    let longestWordLength = 0;
    let longestWord;
    
    for (let i = 0; i < splitStr.length; i++) {
        if (splitStr[i].length > longestWordLength) {
            longestWordLength = splitStr[i].length;
            longestWord = splitStr[i];
        } 
    }
    
    return longestWord;
}"
Generate a correct shell script to check if a string contains ALL the vowels in it,apple,"#!/bin/bash

word=""$1""

for i in {A..Z}
do
    if [[ $i =~ [AEIOU] ]]; then
        if ! [[ $word =~ $i ]]; then 
            echo false
            exit 0
        fi 
    fi
done
echo true"
Compose a python program to remove whitespaces in a given string.,this is a test sentence,"string = ""this is a test sentence""
string = string.replace("" "", """")
print(string)"
Create a Java program to find out the area of a circle given its radius,5,"public class Area {
  public static void main(String[] args) {
    double radius = 5;
    double area = 3.14 * radius * radius;
    System.out.println(""Area of the Circle is "" + area);
  }
}"
Generate a C++ program to find the ASCII value of a given character.,A,"#include <iostream>

int main()
{
    char x = 'A';
    int ascii_value = int(x);
    std::cout << ""The ASCII value of "" << x << "" is "" << ascii_value;
    return 0;
}"
Describe a way to optimize a code to make it run faster.,,"One way to optimize a code to make it run faster is to use caching techniques to store data that is used multiple times. Implementing caching techniques can help to reduce the amount of time needed to compute a result by storing the result of an operation and retrieving it from the cache instead of recalculating it each time it is needed. Additionally, code optimization can also be done by using data structures and algorithms suitable to the task, using existing libraries and tools and parallelizing computations when possible."
Create a dictionary of key-value pairs corresponding to the given array of strings.,"arr = [""a"", ""b"", ""c"", ""d""]","dictionary = dict(zip(arr, range(len(arr)))) 
# dictionary = {'a': 0, 'b': 1, 'c': 2, 'd': 3}"
Determine the maximum integer from the given list.,"list = [9, 10, 35, 46, 12]","#Find the maximum integer 
max_int = max(list) 

#Print the maximum integer
print(max_int) 
# 46"
Write a function to remove duplicate elements from the given list.,"list = [1, 2, 3, 2, 3, 4]","def remove_duplicates(list):
  # Create a blank list 
  tmp = [] 
  
  # Append elements to the blank list one-by-one while avoiding duplicates 
  for ele in list: 
    if ele not in tmp: 
      tmp.append(ele) 
  
  # Return the list without duplicates 
  return tmp 

# Print the result 
print(remove_duplicates(list)) 
# [1, 2, 3, 4]"
Find the longest substring in the given string which does not contain any repeated characters.,"string = ""ababcdcdefg""","#Find the longest substring which does not have repeated characters
longest_substring = """"
 
#Loop over the given string
for x in string: 
	if x not in longest_substring: 
		longest_substring += x 
	else: 
		break

# Print the result  
print (longest_substring) 
# abcdc"
Format the following code so that it conforms to Python's style guidelines.,"print(""Hello world"")","# Format the code
print(""Hello world"")"
Compile the following code for use in a web application.,"class MyClass:
    my_field = ""Hello World!""
    def do_something():
        print(""I'm doing something!"")","# Compile the code
import py_compile
py_compile.compile(""myclass.py"")"
Create a function to translate the given string into pig latin.,"sentence = ""Hello World!""","# Define function
def to_pig_latin(sentence): 
    # Separate the sentence into individual words 
    words = sentence.split() 
  
    # Translate each word into pig latin 
    pig_latin_words = [word[1:] + word[0] + ""ay"" for word in words] 
  
    # Join the translated words 
    return ' '.join(pig_latin_words) 
  
# Print the result 
print(to_pig_latin(sentence)) 
# elloHay orldWay!"
"Given an array of integers, return a new array with unique elements.","arr = [1, 2, 1, 3, 4, 3]","# Return a new array with unique elements 
result = list(set(arr)) 

# Print the result
print(result) 
# [1, 2, 3, 4]"
Create a select statement in SQL to fetch data from the given table.,Table Name: EMPLOYEES,SELECT * FROM EMPLOYEES;
Describe the properties of a binary tree.,,"A binary tree is a hierarchical data structure in which each node is connected to at most two other nodes - commonly referred to as the left and right child - forming a parent-child relationship. Each node can also have a reference to its parent node. Additionally, each node is assigned one of four roles - root, leaf, internal and external - depending on its position within the tree. A binary tree typically has the following properties: it is ordered, can be searched using the in-order, pre-order and post-order traversal methods, it is balanced, and it is efficient in both storage space and time complexity."
Create a class in Python to calculate area and perimeter of a rectangle.,,"class Rectangle:
    def __init__(self, length, breadth):
        self.length = length
        self.breadth = breadth

    def calculate_area(self):
        return self.length * self.breadth

    def calculate_perimeter(self):
        return 2 * (self.length + self.breadth)"
Change the given code to make it syntactically correct.,"print(""Hello World"") 
println(""Hello World"")","print(""Hello World"") 
print(""Hello World"")"
"Given the two lists, A and B, create a new list C with elements from the two lists.","A = [1, 2, 3]
B = [3, 4, 5]","C = [1, 2, 3, 4, 5]"
"Given two integers, calculate the sum of the two numbers.","a = 5
b = 10",15
Implement a search algorithm to find a given item in an array.,"arr = [1,4,5,6,7]
item = 7",index = 4
Write a python statement to create a dictionary.,,dict1 = dict()
Generate the regular expression for validating an email address.,,"^[a-zA-Z0-9.!#$%&'*+/=?^_`{|}~-]+@[a-zA-Z0-9](?:[a-zA-Z0-9-]{0,61}[a-zA-Z0-9])?(?:\.[a-zA-Z0-9](?:[a-zA-Z0-9-]{0,61}[a-zA-Z0-9])?)*$"
Is it a good practice to choose flexible field names when creating a database?,,"Yes, it is a good practice to choose flexible field names when creating a database. This helps to reduce the risk of data entry errors and makes it easier to search for records. Furthermore, it is often helpful to predefine field sizes to ensure that there is enough space for data that needs to be entered."
Debug the following code to eliminate syntax errors.,"def addNumbers(x, y)
     return x + y

print(addNumbersx(10,5))","def addNumbers(x, y):
     return x + y

print(addNumbers(10,5))"
